"area_council","livestock_id","totallivestock"
"malorua","Horses",2
"malorua","Other 1",240000
"malorua","Pigs",832
"malorua","Sheep",3
"mele","Cattle",245
"mele","Chickens",5827
"mele","Ducks",261
"mele","Goats",4
"mele","Horses",1
"mele","Pigs",1570
"north efate","Cattle",1286
"north efate","Chickens",6470
"north efate","Ducks",66
"north efate","Goats",311
"north efate","Horses",2
"north efate","Pigs",910
"pango","Cattle",2
"pango","Chickens",1853
"pango","Ducks",84
"pango","Goats",22
"pango","Other 1",6
"pango","Pigs",240
"port vila","Cattle",1558
"port vila","Chickens",13686
"port vila","Ducks",521
"port vila","Goats",196
"port vila","Horses",71
"port vila","Pigs",1553
"port vila","Sheep",107
