"","remembering","sex","area_council","urban_rural","age_5yr_grp_80","population"
"236","No, no difficulty","Male","east ambae",2,"50-54",47
"237","No, no difficulty","Male","east ambae",2,"55-60",48
"238","No, no difficulty","Male","east ambae",2,"60-64",27
"239","No, no difficulty","Male","east ambae",2,"65-69",18
"240","No, no difficulty","Male","east ambae",2,"70-74",13
"241","Yes, some difficulty","Male","east ambae",2,"75-79",8
"242","No, no difficulty","Male","east ambae",2,"80+",11
"243",NA,"Female","east malo",2," 0-4",131
"244","No, no difficulty","Female","east malo",2," 5-9",146
"245","No, no difficulty","Female","east malo",2,"10-14",140
"246","No, no difficulty","Female","east malo",2,"15-19",75
"247","No, no difficulty","Female","east malo",2,"20-24",67
"248","No, no difficulty","Female","east malo",2,"25-29",79
"249","No, no difficulty","Female","east malo",2,"30-34",71
"250","No, no difficulty","Female","east malo",2,"35-39",60
"251","No, no difficulty","Female","east malo",2,"40-44",55
"252","No, no difficulty","Female","east malo",2,"45-49",36
"253","No, no difficulty","Female","east malo",2,"50-54",37
"254","No, no difficulty","Female","east malo",2,"55-60",32
"255","No, no difficulty","Female","east malo",2,"60-64",21
"256","No, no difficulty","Female","east malo",2,"65-69",29
"257","Yes, lots of difficulty","Female","east malo",2,"70-74",7
"258","Yes, some difficulty","Female","east malo",2,"75-79",5
"259","Yes, lots of difficulty","Female","east malo",2,"80+",3
"260",NA,"Male","east malo",2," 0-4",147
"261","No, no difficulty","Male","east malo",2," 5-9",154
"262","No, no difficulty","Male","east malo",2,"10-14",142
"263","No, no difficulty","Male","east malo",2,"15-19",128
"264","No, no difficulty","Male","east malo",2,"20-24",87
"265","No, no difficulty","Male","east malo",2,"25-29",69
"266","No, no difficulty","Male","east malo",2,"30-34",66
"267","No, no difficulty","Male","east malo",2,"35-39",53
"268","No, no difficulty","Male","east malo",2,"40-44",59
"269","No, no difficulty","Male","east malo",2,"45-49",43
"270","No, no difficulty","Male","east malo",2,"50-54",36
"271","No, no difficulty","Male","east malo",2,"55-60",38
"272","No, no difficulty","Male","east malo",2,"60-64",23
"273","No, no difficulty","Male","east malo",2,"65-69",27
"274","No, no difficulty","Male","east malo",2,"70-74",10
"275","No, no difficulty","Male","east malo",2,"75-79",4
"276","Yes, lots of difficulty","Male","east malo",2,"80+",16
"277",NA,NA,"east santo",2,NA,NA
"278",NA,"Female","east santo",2," 0-4",395
"279","No, no difficulty","Female","east santo",2," 5-9",362
"280","No, no difficulty","Female","east santo",2,"10-14",330
"281","No, no difficulty","Female","east santo",2,"15-19",348
"282","No, no difficulty","Female","east santo",2,"20-24",240
"283","No, no difficulty","Female","east santo",2,"25-29",272
"284","No, no difficulty","Female","east santo",2,"30-34",204
"285","No, no difficulty","Female","east santo",2,"35-39",162
"286","No, no difficulty","Female","east santo",2,"40-44",142
"287","No, no difficulty","Female","east santo",2,"45-49",143
"288","No, no difficulty","Female","east santo",2,"50-54",122
"289","No, no difficulty","Female","east santo",2,"55-60",94
"290","No, no difficulty","Female","east santo",2,"60-64",60
"291","No, no difficulty","Female","east santo",2,"65-69",46
"292","Yes, some difficulty","Female","east santo",2,"70-74",32
"293","No, no difficulty","Female","east santo",2,"75-79",19
"294","No, no difficulty","Female","east santo",2,"80+",19
"295",NA,"Male","east santo",2," 0-4",449
"296","No, no difficulty","Male","east santo",2," 5-9",429
"297","No, no difficulty","Male","east santo",2,"10-14",359
"298","No, no difficulty","Male","east santo",2,"15-19",407
"299","No, no difficulty","Male","east santo",2,"20-24",246
"300","No, no difficulty","Male","east santo",2,"25-29",231
"301","No, no difficulty","Male","east santo",2,"30-34",217
"302","No, no difficulty","Male","east santo",2,"35-39",156
"303","No, no difficulty","Male","east santo",2,"40-44",142
"304","No, no difficulty","Male","east santo",2,"45-49",143
"305","No, no difficulty","Male","east santo",2,"50-54",121
"306","No, no difficulty","Male","east santo",2,"55-60",101
"307","No, no difficulty","Male","east santo",2,"60-64",72
"308","Yes, some difficulty","Male","east santo",2,"65-69",35
"309","No, no difficulty","Male","east santo",2,"70-74",34
"310","No, no difficulty","Male","east santo",2,"75-79",34
"311","Yes, some difficulty","Male","east santo",2,"80+",18
"312",NA,"Female","emau",2," 0-4",47
"313","No, no difficulty","Female","emau",2," 5-9",56
"314","No, no difficulty","Female","emau",2,"10-14",52
"315","No, no difficulty","Female","emau",2,"15-19",20
"316","No, no difficulty","Female","emau",2,"20-24",29
"317","No, no difficulty","Female","emau",2,"25-29",34
"318","No, no difficulty","Female","emau",2,"30-34",26
"319","No, no difficulty","Female","emau",2,"35-39",12
"320","No, no difficulty","Female","emau",2,"40-44",13
"321","No, no difficulty","Female","emau",2,"45-49",15
"322","No, no difficulty","Female","emau",2,"50-54",13
"323","No, no difficulty","Female","emau",2,"55-60",17
"324","No, no difficulty","Female","emau",2,"60-64",9
"325","No, no difficulty","Female","emau",2,"65-69",6
"326","No, no difficulty","Female","emau",2,"70-74",3
"327","No, no difficulty","Female","emau",2,"75-79",7
"328","Yes, lots of difficulty","Female","emau",2,"80+",6
"329",NA,"Male","emau",2," 0-4",53
"330","No, no difficulty","Male","emau",2," 5-9",53
"331","No, no difficulty","Male","emau",2,"10-14",68
"332","No, no difficulty","Male","emau",2,"15-19",22
"333","No, no difficulty","Male","emau",2,"20-24",35
"334","No, no difficulty","Male","emau",2,"25-29",29
"335","No, no difficulty","Male","emau",2,"30-34",27
"336","No, no difficulty","Male","emau",2,"35-39",26
"337","No, no difficulty","Male","emau",2,"40-44",9
"338","No, no difficulty","Male","emau",2,"45-49",14
"339","No, no difficulty","Male","emau",2,"50-54",13
"340","Yes, lots of difficulty","Male","emau",2,"55-60",11
"341","No, no difficulty","Male","emau",2,"60-64",9
"342","No, no difficulty","Male","emau",2,"65-69",4
"343","No, no difficulty","Male","emau",2,"70-74",5
"344","No, no difficulty","Male","emau",2,"75-79",6
"345","No, no difficulty","Male","emau",2,"80+",2
"346",NA,NA,"erakor",2,NA,NA
"347",NA,"Female","erakor",2," 0-4",745
"348","No, no difficulty","Female","erakor",2," 5-9",683
"349","No, no difficulty","Female","erakor",2,"10-14",598
"350","No, no difficulty","Female","erakor",2,"15-19",608
"351","No, no difficulty","Female","erakor",2,"20-24",571
"352","No, no difficulty","Female","erakor",2,"25-29",519
"353","No, no difficulty","Female","erakor",2,"30-34",522
"354","No, no difficulty","Female","erakor",2,"35-39",391
"355","No, no difficulty","Female","erakor",2,"40-44",308
"356","No, no difficulty","Female","erakor",2,"45-49",282
"357","No, no difficulty","Female","erakor",2,"50-54",243
"358","No, no difficulty","Female","erakor",2,"55-60",185
"359","No, no difficulty","Female","erakor",2,"60-64",107
"360","No, no difficulty","Female","erakor",2,"65-69",64
"361","No, no difficulty","Female","erakor",2,"70-74",27
"362","No, no difficulty","Female","erakor",2,"75-79",28
"363","No, no difficulty","Female","erakor",2,"80+",31
"364",NA,"Male","erakor",2," 0-4",858
"365","No, no difficulty","Male","erakor",2," 5-9",776
"366","No, no difficulty","Male","erakor",2,"10-14",592
"367","No, no difficulty","Male","erakor",2,"15-19",593
"368","No, no difficulty","Male","erakor",2,"20-24",552
"369","No, no difficulty","Male","erakor",2,"25-29",514
"370","No, no difficulty","Male","erakor",2,"30-34",421
"371","No, no difficulty","Male","erakor",2,"35-39",380
"372","No, no difficulty","Male","erakor",2,"40-44",334
"373","No, no difficulty","Male","erakor",2,"45-49",316
"374","No, no difficulty","Male","erakor",2,"50-54",219
"375","No, no difficulty","Male","erakor",2,"55-60",193
"376","No, no difficulty","Male","erakor",2,"60-64",121
"377","No, no difficulty","Male","erakor",2,"65-69",83
"378","No, no difficulty","Male","erakor",2,"70-74",46
"379","No, no difficulty","Male","erakor",2,"75-79",23
"380","No, no difficulty","Male","erakor",2,"80+",20
"381",NA,NA,"eratap",2,NA,NA
"382",NA,"Female","eratap",2," 0-4",505
"383","No, no difficulty","Female","eratap",2," 5-9",418
"384",NA,"Female","eratap",2,"10-14",414
"385","No, no difficulty","Female","eratap",2,"15-19",310
"386","No, no difficulty","Female","eratap",2,"20-24",361
"387","No, no difficulty","Female","eratap",2,"25-29",338
"388","No, no difficulty","Female","eratap",2,"30-34",319
"389","No, no difficulty","Female","eratap",2,"35-39",243
"390","No, no difficulty","Female","eratap",2,"40-44",239
"391","No, no difficulty","Female","eratap",2,"45-49",196
"392","No, no difficulty","Female","eratap",2,"50-54",173
"393","No, no difficulty","Female","eratap",2,"55-60",95
"394","No, no difficulty","Female","eratap",2,"60-64",92
"395","No, no difficulty","Female","eratap",2,"65-69",61
"396","No, no difficulty","Female","eratap",2,"70-74",40
"397","Yes, some difficulty","Female","eratap",2,"75-79",16
"398","No, no difficulty","Female","eratap",2,"80+",10
"399",NA,"Male","eratap",2," 0-4",578
"400","No, no difficulty","Male","eratap",2," 5-9",479
"401","No, no difficulty","Male","eratap",2,"10-14",409
"402","No, no difficulty","Male","eratap",2,"15-19",311
"403","No, no difficulty","Male","eratap",2,"20-24",359
"404","No, no difficulty","Male","eratap",2,"25-29",355
"405","No, no difficulty","Male","eratap",2,"30-34",278
"406","No, no difficulty","Male","eratap",2,"35-39",225
"407","No, no difficulty","Male","eratap",2,"40-44",212
"408","No, no difficulty","Male","eratap",2,"45-49",208
"409","No, no difficulty","Male","eratap",2,"50-54",159
"410","No, no difficulty","Male","eratap",2,"55-60",108
"411","No, no difficulty","Male","eratap",2,"60-64",97
"412","No, no difficulty","Male","eratap",2,"65-69",49
"413","No, no difficulty","Male","eratap",2,"70-74",36
"414","No, no difficulty","Male","eratap",2,"75-79",26
"415","Yes, lots of difficulty","Male","eratap",2,"80+",17
"416",NA,"Female","eton",2," 0-4",281
"417","No, no difficulty","Female","eton",2," 5-9",237
"418","No, no difficulty","Female","eton",2,"10-14",215
"419","No, no difficulty","Female","eton",2,"15-19",160
"420","No, no difficulty","Female","eton",2,"20-24",182
"421","No, no difficulty","Female","eton",2,"25-29",194
"422","No, no difficulty","Female","eton",2,"30-34",155
"423","No, no difficulty","Female","eton",2,"35-39",103
"424","No, no difficulty","Female","eton",2,"40-44",101
"425","Yes, some difficulty","Female","eton",2,"45-49",93
"426","No, no difficulty","Female","eton",2,"50-54",77
"427","No, no difficulty","Female","eton",2,"55-60",57
"428","No, no difficulty","Female","eton",2,"60-64",38
"429","No, no difficulty","Female","eton",2,"65-69",30
"430","No, no difficulty","Female","eton",2,"70-74",16
"431","Yes, some difficulty","Female","eton",2,"75-79",13
"432","No, no difficulty","Female","eton",2,"80+",15
"433",NA,"Male","eton",2," 0-4",325
"434","No, no difficulty","Male","eton",2," 5-9",278
"435","No, no difficulty","Male","eton",2,"10-14",239
"436","No, no difficulty","Male","eton",2,"15-19",150
"437","No, no difficulty","Male","eton",2,"20-24",176
"438","No, no difficulty","Male","eton",2,"25-29",163
"439","No, no difficulty","Male","eton",2,"30-34",130
"440","No, no difficulty","Male","eton",2,"35-39",111
"441","No, no difficulty","Male","eton",2,"40-44",103
"442","No, no difficulty","Male","eton",2,"45-49",96
"443","No, no difficulty","Male","eton",2,"50-54",71
"444","No, no difficulty","Male","eton",2,"55-60",51
"445","No, no difficulty","Male","eton",2,"60-64",58
"446","No, no difficulty","Male","eton",2,"65-69",36
"447","No, no difficulty","Male","eton",2,"70-74",27
"448","No, no difficulty","Male","eton",2,"75-79",15
"449","No, no difficulty","Male","eton",2,"80+",7
"450",NA,"Female","futuna",2," 0-4",35
"451","No, no difficulty","Female","futuna",2," 5-9",35
"452","No, no difficulty","Female","futuna",2,"10-14",46
"453","No, no difficulty","Female","futuna",2,"15-19",36
"454","No, no difficulty","Female","futuna",2,"20-24",10
"455","No, no difficulty","Female","futuna",2,"25-29",22
"456","No, no difficulty","Female","futuna",2,"30-34",16
"457","No, no difficulty","Female","futuna",2,"35-39",16
"458","No, no difficulty","Female","futuna",2,"40-44",10
"459","No, no difficulty","Female","futuna",2,"45-49",9
"460","No, no difficulty","Female","futuna",2,"50-54",9
"461","No, no difficulty","Female","futuna",2,"55-60",7
"462","No, no difficulty","Female","futuna",2,"60-64",4
"463","No, no difficulty","Female","futuna",2,"65-69",4
"464","No, no difficulty","Female","futuna",2,"70-74",2
"465","No, no difficulty","Female","futuna",2,"75-79",6
"466","No, no difficulty","Female","futuna",2,"80+",5
"467",NA,"Male","futuna",2," 0-4",45
"468","No, no difficulty","Male","futuna",2," 5-9",46
"469","No, no difficulty","Male","futuna",2,"10-14",48
"470",NA,"Male","futuna",2,"15-19",56
"471","No, no difficulty","Male","futuna",2,"20-24",10
"472","No, no difficulty","Male","futuna",2,"25-29",18
"473","No, no difficulty","Male","futuna",2,"30-34",21
"474","No, no difficulty","Male","futuna",2,"35-39",13
"475","No, no difficulty","Male","futuna",2,"40-44",11
"476","No, no difficulty","Male","futuna",2,"45-49",9
"477","No, no difficulty","Male","futuna",2,"50-54",8
"478","No, no difficulty","Male","futuna",2,"55-60",5
"479","No, no difficulty","Male","futuna",2,"60-64",4
"480","No, no difficulty","Male","futuna",2,"65-69",7
"481","No, no difficulty","Male","futuna",2,"70-74",2
"482","No, no difficulty","Male","futuna",2,"80+",7
"483",NA,NA,"gaua",2,NA,NA
"484",NA,"Female","gaua",2," 0-4",256
"485","No, no difficulty","Female","gaua",2," 5-9",266
"486","No, no difficulty","Female","gaua",2,"10-14",235
"487","No, no difficulty","Female","gaua",2,"15-19",180
"488","No, no difficulty","Female","gaua",2,"20-24",155
"489","No, no difficulty","Female","gaua",2,"25-29",136
"490","No, no difficulty","Female","gaua",2,"30-34",128
"491","No, no difficulty","Female","gaua",2,"35-39",96
"492","No, no difficulty","Female","gaua",2,"40-44",67
"493","No, no difficulty","Female","gaua",2,"45-49",66
"494","No, no difficulty","Female","gaua",2,"50-54",48
"495","No, no difficulty","Female","gaua",2,"55-60",41
"496","No, no difficulty","Female","gaua",2,"60-64",24
"497","No, no difficulty","Female","gaua",2,"65-69",28
"498","No, no difficulty","Female","gaua",2,"70-74",15
"499","No, no difficulty","Female","gaua",2,"75-79",7
