"","remembering","sex","area_council","urban_rural","age_5yr_grp_80","population"
"1009","No, no difficulty","Female","north erromango",2,"40-44",41
"1010","No, no difficulty","Female","north erromango",2,"45-49",36
"1011","No, no difficulty","Female","north erromango",2,"50-54",27
"1012","No, no difficulty","Female","north erromango",2,"55-60",20
"1013","No, no difficulty","Female","north erromango",2,"60-64",19
"1014","No, no difficulty","Female","north erromango",2,"65-69",15
"1015","Yes, lots of difficulty","Female","north erromango",2,"70-74",6
"1016","Yes, some difficulty","Female","north erromango",2,"75-79",6
"1017","Yes, some difficulty","Female","north erromango",2,"80+",8
"1018",NA,"Male","north erromango",2," 0-4",145
"1019","No, no difficulty","Male","north erromango",2," 5-9",158
"1020","No, no difficulty","Male","north erromango",2,"10-14",140
"1021","No, no difficulty","Male","north erromango",2,"15-19",88
"1022","No, no difficulty","Male","north erromango",2,"20-24",72
"1023","No, no difficulty","Male","north erromango",2,"25-29",62
"1024","No, no difficulty","Male","north erromango",2,"30-34",82
"1025","No, no difficulty","Male","north erromango",2,"35-39",37
"1026","No, no difficulty","Male","north erromango",2,"40-44",42
"1027","No, no difficulty","Male","north erromango",2,"45-49",35
"1028","No, no difficulty","Male","north erromango",2,"50-54",28
"1029","No, no difficulty","Male","north erromango",2,"55-60",28
"1030","No, no difficulty","Male","north erromango",2,"60-64",12
"1031","No, no difficulty","Male","north erromango",2,"65-69",14
"1032","Yes, some difficulty","Male","north erromango",2,"70-74",10
"1033","No, no difficulty","Male","north erromango",2,"75-79",5
"1034","No, no difficulty","Male","north erromango",2,"80+",7
"1035",NA,"Female","north maewo",2," 0-4",227
"1036","No, no difficulty","Female","north maewo",2," 5-9",187
"1037","No, no difficulty","Female","north maewo",2,"10-14",154
"1038","No, no difficulty","Female","north maewo",2,"15-19",141
"1039","No, no difficulty","Female","north maewo",2,"20-24",112
"1040","No, no difficulty","Female","north maewo",2,"25-29",116
"1041","No, no difficulty","Female","north maewo",2,"30-34",95
"1042","No, no difficulty","Female","north maewo",2,"35-39",74
"1043","No, no difficulty","Female","north maewo",2,"40-44",83
"1044","No, no difficulty","Female","north maewo",2,"45-49",76
"1045","No, no difficulty","Female","north maewo",2,"50-54",53
"1046","No, no difficulty","Female","north maewo",2,"55-60",46
"1047","No, no difficulty","Female","north maewo",2,"60-64",31
"1048","No, no difficulty","Female","north maewo",2,"65-69",29
"1049","Yes, some difficulty","Female","north maewo",2,"70-74",18
"1050","No, no difficulty","Female","north maewo",2,"75-79",12
"1051","No, no difficulty","Female","north maewo",2,"80+",7
"1052",NA,"Male","north maewo",2," 0-4",213
"1053","No, no difficulty","Male","north maewo",2," 5-9",197
"1054","No, no difficulty","Male","north maewo",2,"10-14",192
"1055","No, no difficulty","Male","north maewo",2,"15-19",130
"1056","No, no difficulty","Male","north maewo",2,"20-24",109
"1057","Yes, some difficulty","Male","north maewo",2,"25-29",97
"1058","No, no difficulty","Male","north maewo",2,"30-34",112
"1059","No, no difficulty","Male","north maewo",2,"35-39",72
"1060","No, no difficulty","Male","north maewo",2,"40-44",65
"1061","No, no difficulty","Male","north maewo",2,"45-49",75
"1062","No, no difficulty","Male","north maewo",2,"50-54",71
"1063","No, no difficulty","Male","north maewo",2,"55-60",49
"1064","Yes, some difficulty","Male","north maewo",2,"60-64",25
"1065","No, no difficulty","Male","north maewo",2,"65-69",27
"1066","Yes, lots of difficulty","Male","north maewo",2,"70-74",10
"1067","Yes, some difficulty","Male","north maewo",2,"75-79",8
"1068","No, no difficulty","Male","north maewo",2,"80+",21
"1069",NA,"Female","north pentecost",2," 0-4",534
"1070","No, no difficulty","Female","north pentecost",2," 5-9",461
"1071","No, no difficulty","Female","north pentecost",2,"10-14",447
"1072","No, no difficulty","Female","north pentecost",2,"15-19",341
"1073","No, no difficulty","Female","north pentecost",2,"20-24",239
"1074","No, no difficulty","Female","north pentecost",2,"25-29",256
"1075","No, no difficulty","Female","north pentecost",2,"30-34",192
"1076","No, no difficulty","Female","north pentecost",2,"35-39",161
"1077","No, no difficulty","Female","north pentecost",2,"40-44",176
"1078","No, no difficulty","Female","north pentecost",2,"45-49",127
"1079","No, no difficulty","Female","north pentecost",2,"50-54",130
"1080","No, no difficulty","Female","north pentecost",2,"55-60",106
"1081","No, no difficulty","Female","north pentecost",2,"60-64",96
"1082","No, no difficulty","Female","north pentecost",2,"65-69",68
"1083","Yes, lots of difficulty","Female","north pentecost",2,"70-74",45
"1084","Yes, some difficulty","Female","north pentecost",2,"75-79",40
"1085","No, no difficulty","Female","north pentecost",2,"80+",47
"1086",NA,"Male","north pentecost",2," 0-4",598
"1087","No, no difficulty","Male","north pentecost",2," 5-9",560
"1088","No, no difficulty","Male","north pentecost",2,"10-14",481
"1089","No, no difficulty","Male","north pentecost",2,"15-19",391
"1090","No, no difficulty","Male","north pentecost",2,"20-24",255
"1091","No, no difficulty","Male","north pentecost",2,"25-29",191
"1092","No, no difficulty","Male","north pentecost",2,"30-34",198
"1093","No, no difficulty","Male","north pentecost",2,"35-39",212
"1094","No, no difficulty","Male","north pentecost",2,"40-44",181
"1095","No, no difficulty","Male","north pentecost",2,"45-49",157
"1096","No, no difficulty","Male","north pentecost",2,"50-54",108
"1097","No, no difficulty","Male","north pentecost",2,"55-60",104
"1098","No, no difficulty","Male","north pentecost",2,"60-64",79
"1099","No, no difficulty","Male","north pentecost",2,"65-69",64
"1100","No, no difficulty","Male","north pentecost",2,"70-74",44
"1101","Yes, lots of difficulty","Male","north pentecost",2,"75-79",33
"1102","No, no difficulty","Male","north pentecost",2,"80+",48
"1103",NA,NA,"north santo",2,NA,NA
"1104",NA,"Female","north santo",2," 0-4",386
"1105","No, no difficulty","Female","north santo",2," 5-9",346
"1106","Yes, some difficulty","Female","north santo",2,"10-14",285
"1107","No, no difficulty","Female","north santo",2,"15-19",245
"1108","No, no difficulty","Female","north santo",2,"20-24",274
"1109","No, no difficulty","Female","north santo",2,"25-29",231
"1110","No, no difficulty","Female","north santo",2,"30-34",159
"1111","No, no difficulty","Female","north santo",2,"35-39",138
"1112","No, no difficulty","Female","north santo",2,"40-44",113
"1113","No, no difficulty","Female","north santo",2,"45-49",88
"1114","No, no difficulty","Female","north santo",2,"50-54",66
"1115","No, no difficulty","Female","north santo",2,"55-60",48
"1116","No, no difficulty","Female","north santo",2,"60-64",56
"1117","No, no difficulty","Female","north santo",2,"65-69",23
"1118","No, no difficulty","Female","north santo",2,"70-74",19
"1119","No, no difficulty","Female","north santo",2,"75-79",17
"1120","No, no difficulty","Female","north santo",2,"80+",19
"1121",NA,"Male","north santo",2," 0-4",406
"1122","No, no difficulty","Male","north santo",2," 5-9",385
"1123","No, no difficulty","Male","north santo",2,"10-14",346
"1124","No, no difficulty","Male","north santo",2,"15-19",257
"1125","No, no difficulty","Male","north santo",2,"20-24",284
"1126","No, no difficulty","Male","north santo",2,"25-29",235
"1127","No, no difficulty","Male","north santo",2,"30-34",161
"1128","No, no difficulty","Male","north santo",2,"35-39",144
"1129","No, no difficulty","Male","north santo",2,"40-44",135
"1130","No, no difficulty","Male","north santo",2,"45-49",91
"1131","No, no difficulty","Male","north santo",2,"50-54",74
"1132","No, no difficulty","Male","north santo",2,"55-60",55
"1133","Yes, some difficulty","Male","north santo",2,"60-64",45
"1134","No, no difficulty","Male","north santo",2,"65-69",25
"1135","No, no difficulty","Male","north santo",2,"70-74",27
"1136","Yes, some difficulty","Male","north santo",2,"75-79",18
"1137","No, no difficulty","Male","north santo",2,"80+",25
"1138",NA,"Female","north tanna",2," 0-4",450
"1139","No, no difficulty","Female","north tanna",2," 5-9",364
"1140","No, no difficulty","Female","north tanna",2,"10-14",305
"1141","No, no difficulty","Female","north tanna",2,"15-19",249
"1142","Yes, some difficulty","Female","north tanna",2,"20-24",216
"1143","No, no difficulty","Female","north tanna",2,"25-29",169
"1144","No, no difficulty","Female","north tanna",2,"30-34",163
"1145","No, no difficulty","Female","north tanna",2,"35-39",117
"1146","No, no difficulty","Female","north tanna",2,"40-44",100
"1147","No, no difficulty","Female","north tanna",2,"45-49",93
"1148","No, no difficulty","Female","north tanna",2,"50-54",63
"1149","No, no difficulty","Female","north tanna",2,"55-60",47
"1150","No, no difficulty","Female","north tanna",2,"60-64",41
"1151","No, no difficulty","Female","north tanna",2,"65-69",33
"1152","No, no difficulty","Female","north tanna",2,"70-74",22
"1153","No, no difficulty","Female","north tanna",2,"75-79",9
"1154","No, no difficulty","Female","north tanna",2,"80+",15
"1155",NA,"Male","north tanna",2," 0-4",425
"1156","No, no difficulty","Male","north tanna",2," 5-9",387
"1157","No, no difficulty","Male","north tanna",2,"10-14",340
"1158","No, no difficulty","Male","north tanna",2,"15-19",229
"1159","No, no difficulty","Male","north tanna",2,"20-24",203
"1160","No, no difficulty","Male","north tanna",2,"25-29",133
"1161","No, no difficulty","Male","north tanna",2,"30-34",139
"1162","No, no difficulty","Male","north tanna",2,"35-39",97
"1163","No, no difficulty","Male","north tanna",2,"40-44",113
"1164","No, no difficulty","Male","north tanna",2,"45-49",88
"1165","No, no difficulty","Male","north tanna",2,"50-54",65
"1166","No, no difficulty","Male","north tanna",2,"55-60",39
"1167","Yes, some difficulty","Male","north tanna",2,"60-64",40
"1168","No, no difficulty","Male","north tanna",2,"65-69",22
"1169","No, no difficulty","Male","north tanna",2,"70-74",27
"1170","No, no difficulty","Male","north tanna",2,"75-79",16
"1171","No, no difficulty","Male","north tanna",2,"80+",14
"1172",NA,"Female","north tongoa",2," 0-4",81
"1173","No, no difficulty","Female","north tongoa",2," 5-9",119
"1174","No, no difficulty","Female","north tongoa",2,"10-14",98
"1175","No, no difficulty","Female","north tongoa",2,"15-19",56
"1176","No, no difficulty","Female","north tongoa",2,"20-24",53
"1177","No, no difficulty","Female","north tongoa",2,"25-29",45
"1178","No, no difficulty","Female","north tongoa",2,"30-34",58
"1179","No, no difficulty","Female","north tongoa",2,"35-39",47
"1180","No, no difficulty","Female","north tongoa",2,"40-44",41
"1181","No, no difficulty","Female","north tongoa",2,"45-49",41
"1182","No, no difficulty","Female","north tongoa",2,"50-54",30
"1183","No, no difficulty","Female","north tongoa",2,"55-60",27
"1184","No, no difficulty","Female","north tongoa",2,"60-64",30
"1185","No, no difficulty","Female","north tongoa",2,"65-69",19
"1186","Yes, some difficulty","Female","north tongoa",2,"70-74",22
"1187","Yes, some difficulty","Female","north tongoa",2,"75-79",12
"1188","Yes, some difficulty","Female","north tongoa",2,"80+",9
"1189",NA,"Male","north tongoa",2," 0-4",95
"1190","No, no difficulty","Male","north tongoa",2," 5-9",145
"1191","No, no difficulty","Male","north tongoa",2,"10-14",109
"1192","No, no difficulty","Male","north tongoa",2,"15-19",76
"1193","No, no difficulty","Male","north tongoa",2,"20-24",56
"1194","No, no difficulty","Male","north tongoa",2,"25-29",40
"1195","No, no difficulty","Male","north tongoa",2,"30-34",58
"1196","No, no difficulty","Male","north tongoa",2,"35-39",65
"1197","No, no difficulty","Male","north tongoa",2,"40-44",29
"1198","No, no difficulty","Male","north tongoa",2,"45-49",30
"1199","No, no difficulty","Male","north tongoa",2,"50-54",18
"1200","No, no difficulty","Male","north tongoa",2,"55-60",22
"1201","No, no difficulty","Male","north tongoa",2,"60-64",29
"1202","No, no difficulty","Male","north tongoa",2,"65-69",19
"1203","No, no difficulty","Male","north tongoa",2,"70-74",11
"1204","Yes, some difficulty","Male","north tongoa",2,"75-79",10
"1205","Yes, some difficulty","Male","north tongoa",2,"80+",9
"1206",NA,NA,"north west malekula",2,NA,NA
"1207",NA,"Female","north west malekula",2," 0-4",372
"1208","No, no difficulty","Female","north west malekula",2," 5-9",359
"1209","No, no difficulty","Female","north west malekula",2,"10-14",368
"1210","No, no difficulty","Female","north west malekula",2,"15-19",285
"1211","No, no difficulty","Female","north west malekula",2,"20-24",206
"1212","No, no difficulty","Female","north west malekula",2,"25-29",188
"1213","No, no difficulty","Female","north west malekula",2,"30-34",201
"1214","No, no difficulty","Female","north west malekula",2,"35-39",154
"1215","No, no difficulty","Female","north west malekula",2,"40-44",136
"1216","No, no difficulty","Female","north west malekula",2,"45-49",107
"1217","No, no difficulty","Female","north west malekula",2,"50-54",77
"1218","No, no difficulty","Female","north west malekula",2,"55-60",76
"1219","No, no difficulty","Female","north west malekula",2,"60-64",69
"1220","Yes, some difficulty","Female","north west malekula",2,"65-69",42
"1221","No, no difficulty","Female","north west malekula",2,"70-74",28
"1222","Yes, lots of difficulty","Female","north west malekula",2,"75-79",19
"1223","Yes, some difficulty","Female","north west malekula",2,"80+",36
"1224",NA,"Male","north west malekula",2," 0-4",409
"1225","No, no difficulty","Male","north west malekula",2," 5-9",412
"1226","No, no difficulty","Male","north west malekula",2,"10-14",414
"1227","No, no difficulty","Male","north west malekula",2,"15-19",330
"1228","No, no difficulty","Male","north west malekula",2,"20-24",197
"1229","No, no difficulty","Male","north west malekula",2,"25-29",169
"1230","No, no difficulty","Male","north west malekula",2,"30-34",164
"1231","No, no difficulty","Male","north west malekula",2,"35-39",187
"1232","No, no difficulty","Male","north west malekula",2,"40-44",135
"1233","No, no difficulty","Male","north west malekula",2,"45-49",81
"1234","No, no difficulty","Male","north west malekula",2,"50-54",90
"1235","No, no difficulty","Male","north west malekula",2,"55-60",74
"1236","No, no difficulty","Male","north west malekula",2,"60-64",55
"1237","No, no difficulty","Male","north west malekula",2,"65-69",43
"1238","No, no difficulty","Male","north west malekula",2,"70-74",35
"1239","No, no difficulty","Male","north west malekula",2,"75-79",21
"1240","Yes, some difficulty","Male","north west malekula",2,"80+",36
"1241",NA,"Female","north west santo",2," 0-4",113
"1242","No, no difficulty","Female","north west santo",2," 5-9",98
"1243","No, no difficulty","Female","north west santo",2,"10-14",73
"1244","No, no difficulty","Female","north west santo",2,"15-19",53
"1245","No, no difficulty","Female","north west santo",2,"20-24",60
"1246","No, no difficulty","Female","north west santo",2,"25-29",72
"1247","No, no difficulty","Female","north west santo",2,"30-34",60
"1248","No, no difficulty","Female","north west santo",2,"35-39",42
"1249","No, no difficulty","Female","north west santo",2,"40-44",43
"1250","No, no difficulty","Female","north west santo",2,"45-49",28
"1251","No, no difficulty","Female","north west santo",2,"50-54",21
"1252","Yes, some difficulty","Female","north west santo",2,"55-60",17
"1253","No, no difficulty","Female","north west santo",2,"60-64",23
"1254","No, no difficulty","Female","north west santo",2,"65-69",2
"1255","Yes, some difficulty","Female","north west santo",2,"70-74",12
"1256","No, no difficulty","Female","north west santo",2,"75-79",7
"1257","Yes, some difficulty","Female","north west santo",2,"80+",5
"1258",NA,"Male","north west santo",2," 0-4",132
"1259","No, no difficulty","Male","north west santo",2," 5-9",119
"1260","Yes, some difficulty","Male","north west santo",2,"10-14",87
"1261","No, no difficulty","Male","north west santo",2,"15-19",85
"1262","No, no difficulty","Male","north west santo",2,"20-24",66
"1263","No, no difficulty","Male","north west santo",2,"25-29",53
"1264","No, no difficulty","Male","north west santo",2,"30-34",66
"1265","No, no difficulty","Male","north west santo",2,"35-39",49
"1266","No, no difficulty","Male","north west santo",2,"40-44",44
"1267","No, no difficulty","Male","north west santo",2,"45-49",45
"1268","No, no difficulty","Male","north west santo",2,"50-54",29
"1269","No, no difficulty","Male","north west santo",2,"55-60",13
"1270","No, no difficulty","Male","north west santo",2,"60-64",14
"1271","No, no difficulty","Male","north west santo",2,"65-69",19
"1272","No, no difficulty","Male","north west santo",2,"70-74",5
"1273","No, no difficulty","Male","north west santo",2,"75-79",5
"1274","Yes, lots of difficulty","Male","north west santo",2,"80+",3
"1275",NA,"Female","paama",2," 0-4",80
"1276","No, no difficulty","Female","paama",2," 5-9",89
"1277","No, no difficulty","Female","paama",2,"10-14",89
"1278","No, no difficulty","Female","paama",2,"15-19",104
"1279","No, no difficulty","Female","paama",2,"20-24",46
"1280","No, no difficulty","Female","paama",2,"25-29",42
"1281","No, no difficulty","Female","paama",2,"30-34",45
"1282","No, no difficulty","Female","paama",2,"35-39",46
"1283","Yes, some difficulty","Female","paama",2,"40-44",32
"1284","No, no difficulty","Female","paama",2,"45-49",45
"1285","Yes, some difficulty","Female","paama",2,"50-54",24
"1286","No, no difficulty","Female","paama",2,"55-60",29
"1287","No, no difficulty","Female","paama",2,"60-64",29
"1288","No, no difficulty","Female","paama",2,"65-69",17
"1289","Yes, some difficulty","Female","paama",2,"70-74",19
"1290","No, no difficulty","Female","paama",2,"75-79",15
"1291","No, no difficulty","Female","paama",2,"80+",22
"1292",NA,"Male","paama",2," 0-4",85
"1293","No, no difficulty","Male","paama",2," 5-9",92
"1294","No, no difficulty","Male","paama",2,"10-14",93
"1295","No, no difficulty","Male","paama",2,"15-19",135
"1296","No, no difficulty","Male","paama",2,"20-24",49
"1297","No, no difficulty","Male","paama",2,"25-29",57
"1298","No, no difficulty","Male","paama",2,"30-34",41
"1299","No, no difficulty","Male","paama",2,"35-39",25
"1300","No, no difficulty","Male","paama",2,"40-44",36
"1301","No, no difficulty","Male","paama",2,"45-49",42
"1302","No, no difficulty","Male","paama",2,"50-54",37
"1303","No, no difficulty","Male","paama",2,"55-60",27
"1304","No, no difficulty","Male","paama",2,"60-64",23
"1305","No, no difficulty","Male","paama",2,"65-69",22
"1306","No, no difficulty","Male","paama",2,"70-74",17
"1307","No, no difficulty","Male","paama",2,"75-79",13
"1308","Yes, some difficulty","Male","paama",2,"80+",26
"1309",NA,NA,"pango",2,NA,NA
"1310",NA,"Female","pango",2," 0-4",156
"1311","No, no difficulty","Female","pango",2," 5-9",144
"1312","No, no difficulty","Female","pango",2,"10-14",116
"1313","No, no difficulty","Female","pango",2,"15-19",100
"1314","No, no difficulty","Female","pango",2,"20-24",100
"1315","No, no difficulty","Female","pango",2,"25-29",98
"1316","No, no difficulty","Female","pango",2,"30-34",98
"1317","No, no difficulty","Female","pango",2,"35-39",78
"1318","No, no difficulty","Female","pango",2,"40-44",72
"1319","No, no difficulty","Female","pango",2,"45-49",45
"1320","No, no difficulty","Female","pango",2,"50-54",61
"1321","No, no difficulty","Female","pango",2,"55-60",34
"1322","No, no difficulty","Female","pango",2,"60-64",26
"1323","No, no difficulty","Female","pango",2,"65-69",17
"1324","No, no difficulty","Female","pango",2,"70-74",16
"1325","No, no difficulty","Female","pango",2,"75-79",10
"1326","Yes, some difficulty","Female","pango",2,"80+",9
"1327",NA,"Male","pango",2," 0-4",148
"1328","No, no difficulty","Male","pango",2," 5-9",125
"1329","No, no difficulty","Male","pango",2,"10-14",123
"1330","No, no difficulty","Male","pango",2,"15-19",89
"1331","No, no difficulty","Male","pango",2,"20-24",87
"1332","No, no difficulty","Male","pango",2,"25-29",96
"1333","No, no difficulty","Male","pango",2,"30-34",86
"1334","No, no difficulty","Male","pango",2,"35-39",68
"1335","No, no difficulty","Male","pango",2,"40-44",59
"1336","No, no difficulty","Male","pango",2,"45-49",55
"1337","No, no difficulty","Male","pango",2,"50-54",46
"1338","No, no difficulty","Male","pango",2,"55-60",39
"1339","No, no difficulty","Male","pango",2,"60-64",29
"1340","No, no difficulty","Male","pango",2,"65-69",21
"1341","No, no difficulty","Male","pango",2,"70-74",10
"1342","No, no difficulty","Male","pango",2,"75-79",8
"1343","No, no difficulty","Male","pango",2,"80+",9
"1344",NA,NA,"port vila",1,NA,NA
"1345",NA,"Female","port vila",1," 0-4",2858
"1346","No, no difficulty","Female","port vila",1," 5-9",2464
"1347","No, no difficulty","Female","port vila",1,"10-14",2186
"1348","No, no difficulty","Female","port vila",1,"15-19",2227
"1349","No, no difficulty","Female","port vila",1,"20-24",2624
"1350","No, no difficulty","Female","port vila",1,"25-29",2460
"1351","No, no difficulty","Female","port vila",1,"30-34",2161
"1352","No, no difficulty","Female","port vila",1,"35-39",1628
"1353","No, no difficulty","Female","port vila",1,"40-44",1425
"1354","No, no difficulty","Female","port vila",1,"45-49",1253
"1355","No, no difficulty","Female","port vila",1,"50-54",1069
"1356","No, no difficulty","Female","port vila",1,"55-60",751
"1357","No, no difficulty","Female","port vila",1,"60-64",577
"1358","No, no difficulty","Female","port vila",1,"65-69",333
"1359","No, no difficulty","Female","port vila",1,"70-74",179
"1360","No, no difficulty","Female","port vila",1,"75-79",105
"1361","Yes, lots of difficulty","Female","port vila",1,"80+",75
"1362",NA,"Male","port vila",1," 0-4",3032
"1363","No, no difficulty","Male","port vila",1," 5-9",2610
"1364","No, no difficulty","Male","port vila",1,"10-14",2360
"1365","No, no difficulty","Male","port vila",1,"15-19",2241
"1366","No, no difficulty","Male","port vila",1,"20-24",2511
"1367","No, no difficulty","Male","port vila",1,"25-29",2553
"1368","No, no difficulty","Male","port vila",1,"30-34",1944
"1369","No, no difficulty","Male","port vila",1,"35-39",1513
"1370","No, no difficulty","Male","port vila",1,"40-44",1391
"1371","No, no difficulty","Male","port vila",1,"45-49",1239
"1372","Yes, some difficulty","Male","port vila",1,"50-54",1009
"1373","No, no difficulty","Male","port vila",1,"55-60",774
"1374","No, no difficulty","Male","port vila",1,"60-64",575
"1375","No, no difficulty","Male","port vila",1,"65-69",354
"1376","Yes, some difficulty","Male","port vila",1,"70-74",202
"1377","No, no difficulty","Male","port vila",1,"75-79",119
"1378","No, no difficulty","Male","port vila",1,"80+",89
"1379",NA,"Female","south ambae",2," 0-4",83
"1380","No, no difficulty","Female","south ambae",2," 5-9",87
"1381","No, no difficulty","Female","south ambae",2,"10-14",78
"1382","No, no difficulty","Female","south ambae",2,"15-19",32
"1383","No, no difficulty","Female","south ambae",2,"20-24",35
"1384","Yes, some difficulty","Female","south ambae",2,"25-29",39
"1385","No, no difficulty","Female","south ambae",2,"30-34",46
"1386","No, no difficulty","Female","south ambae",2,"35-39",25
"1387","No, no difficulty","Female","south ambae",2,"40-44",18
"1388","No, no difficulty","Female","south ambae",2,"45-49",20
"1389","No, no difficulty","Female","south ambae",2,"50-54",20
"1390","No, no difficulty","Female","south ambae",2,"55-60",22
"1391","No, no difficulty","Female","south ambae",2,"60-64",23
"1392","Yes, some difficulty","Female","south ambae",2,"65-69",8
"1393","No, no difficulty","Female","south ambae",2,"70-74",6
"1394","No, no difficulty","Female","south ambae",2,"75-79",1
"1395","Yes, some difficulty","Female","south ambae",2,"80+",6
"1396",NA,"Male","south ambae",2," 0-4",90
"1397","No, no difficulty","Male","south ambae",2," 5-9",99
"1398","No, no difficulty","Male","south ambae",2,"10-14",75
"1399","No, no difficulty","Male","south ambae",2,"15-19",39
"1400","No, no difficulty","Male","south ambae",2,"20-24",39
"1401","No, no difficulty","Male","south ambae",2,"25-29",43
"1402","No, no difficulty","Male","south ambae",2,"30-34",30
"1403","No, no difficulty","Male","south ambae",2,"35-39",39
"1404","No, no difficulty","Male","south ambae",2,"40-44",24
"1405","No, no difficulty","Male","south ambae",2,"45-49",12
"1406","No, no difficulty","Male","south ambae",2,"50-54",23
"1407","No, no difficulty","Male","south ambae",2,"55-60",18
"1408","No, no difficulty","Male","south ambae",2,"60-64",20
"1409","Yes, some difficulty","Male","south ambae",2,"65-69",5
"1410","Yes, some difficulty","Male","south ambae",2,"70-74",6
"1411","No, no difficulty","Male","south ambae",2,"75-79",8
"1412","Yes, some difficulty","Male","south ambae",2,"80+",6
"1413",NA,"Female","south east ambrym",2," 0-4",126
"1414","No, no difficulty","Female","south east ambrym",2," 5-9",118
"1415","No, no difficulty","Female","south east ambrym",2,"10-14",114
"1416","No, no difficulty","Female","south east ambrym",2,"15-19",74
"1417","No, no difficulty","Female","south east ambrym",2,"20-24",71
"1418","No, no difficulty","Female","south east ambrym",2,"25-29",82
"1419",NA,"Female","south east ambrym",2,"30-34",61
"1420","No, no difficulty","Female","south east ambrym",2,"35-39",66
"1421","No, no difficulty","Female","south east ambrym",2,"40-44",60
"1422","No, no difficulty","Female","south east ambrym",2,"45-49",40
"1423","No, no difficulty","Female","south east ambrym",2,"50-54",36
"1424","No, no difficulty","Female","south east ambrym",2,"55-60",29
"1425","No, no difficulty","Female","south east ambrym",2,"60-64",32
"1426","No, no difficulty","Female","south east ambrym",2,"65-69",22
"1427","Yes, some difficulty","Female","south east ambrym",2,"70-74",16
"1428","Yes, some difficulty","Female","south east ambrym",2,"75-79",15
"1429","No, no difficulty","Female","south east ambrym",2,"80+",6
"1430",NA,"Male","south east ambrym",2," 0-4",135
"1431","Yes, some difficulty","Male","south east ambrym",2," 5-9",134
"1432","No, no difficulty","Male","south east ambrym",2,"10-14",133
"1433","No, no difficulty","Male","south east ambrym",2,"15-19",104
"1434","No, no difficulty","Male","south east ambrym",2,"20-24",94
"1435","No, no difficulty","Male","south east ambrym",2,"25-29",80
"1436","Yes, lots of difficulty","Male","south east ambrym",2,"30-34",77
"1437","No, no difficulty","Male","south east ambrym",2,"35-39",52
"1438","No, no difficulty","Male","south east ambrym",2,"40-44",60
"1439","No, no difficulty","Male","south east ambrym",2,"45-49",64
"1440","No, no difficulty","Male","south east ambrym",2,"50-54",30
"1441","Yes, some difficulty","Male","south east ambrym",2,"55-60",35
"1442","Yes, some difficulty","Male","south east ambrym",2,"60-64",25
"1443","No, no difficulty","Male","south east ambrym",2,"65-69",15
"1444","Yes, some difficulty","Male","south east ambrym",2,"70-74",22
"1445","No, no difficulty","Male","south east ambrym",2,"75-79",12
"1446","Yes, lots of difficulty","Male","south east ambrym",2,"80+",9
"1447",NA,"Female","south east malekula",2," 0-4",384
"1448","No, no difficulty","Female","south east malekula",2," 5-9",377
"1449","No, no difficulty","Female","south east malekula",2,"10-14",269
"1450","No, no difficulty","Female","south east malekula",2,"15-19",197
"1451","No, no difficulty","Female","south east malekula",2,"20-24",207
"1452","No, no difficulty","Female","south east malekula",2,"25-29",196
"1453","No, no difficulty","Female","south east malekula",2,"30-34",153
"1454","No, no difficulty","Female","south east malekula",2,"35-39",142
"1455","No, no difficulty","Female","south east malekula",2,"40-44",142
"1456","No, no difficulty","Female","south east malekula",2,"45-49",108
"1457","No, no difficulty","Female","south east malekula",2,"50-54",74
"1458","No, no difficulty","Female","south east malekula",2,"55-60",80
"1459","No, no difficulty","Female","south east malekula",2,"60-64",64
"1460","No, no difficulty","Female","south east malekula",2,"65-69",49
"1461","No, no difficulty","Female","south east malekula",2,"70-74",34
"1462","Yes, some difficulty","Female","south east malekula",2,"75-79",7
"1463","Yes, some difficulty","Female","south east malekula",2,"80+",17
"1464",NA,"Male","south east malekula",2," 0-4",396
"1465","No, no difficulty","Male","south east malekula",2," 5-9",436
"1466","No, no difficulty","Male","south east malekula",2,"10-14",327
"1467","No, no difficulty","Male","south east malekula",2,"15-19",215
"1468","No, no difficulty","Male","south east malekula",2,"20-24",197
"1469","No, no difficulty","Male","south east malekula",2,"25-29",176
"1470","No, no difficulty","Male","south east malekula",2,"30-34",179
"1471","No, no difficulty","Male","south east malekula",2,"35-39",128
"1472","No, no difficulty","Male","south east malekula",2,"40-44",118
"1473","No, no difficulty","Male","south east malekula",2,"45-49",116
"1474","No, no difficulty","Male","south east malekula",2,"50-54",93
"1475","No, no difficulty","Male","south east malekula",2,"55-60",64
"1476","No, no difficulty","Male","south east malekula",2,"60-64",52
"1477","No, no difficulty","Male","south east malekula",2,"65-69",41
"1478","No, no difficulty","Male","south east malekula",2,"70-74",30
"1479","No, no difficulty","Male","south east malekula",2,"75-79",19
"1480","Yes, some difficulty","Male","south east malekula",2,"80+",20
"1481",NA,NA,"south east santo",2,NA,NA
"1482",NA,"Female","south east santo",2," 0-4",499
"1483","No, no difficulty","Female","south east santo",2," 5-9",475
"1484","No, no difficulty","Female","south east santo",2,"10-14",425
"1485","No, no difficulty","Female","south east santo",2,"15-19",361
"1486","No, no difficulty","Female","south east santo",2,"20-24",341
"1487","No, no difficulty","Female","south east santo",2,"25-29",336
"1488","No, no difficulty","Female","south east santo",2,"30-34",311
"1489","No, no difficulty","Female","south east santo",2,"35-39",223
"1490","No, no difficulty","Female","south east santo",2,"40-44",191
